Year,Kilometers_Driven,Fuel_Type,Transmission,Mileage,Engine,Power,Seats,Price,Model
2010,72000,CNG,Manual,26.6,998.0,58.16,5.0,1.75,suzuki wagon
2015,41000,Diesel,Manual,19.67,1582.0,126.2,5.0,12.5,hyundai creta
2011,46000,Petrol,Manual,18.2,1199.0,88.7,5.0,4.5,honda jazz
2012,87000,Diesel,Manual,20.77,1248.0,88.76,7.0,6.0,suzuki ertiga
2013,40670,Diesel,Automatic,15.2,1968.0,140.8,5.0,17.74,audi a4
2013,86999,Diesel,Manual,23.08,1461.0,63.1,5.0,3.5,nissan micra
2016,36000,Diesel,Automatic,11.36,2755.0,171.5,8.0,17.5,toyota innova
2013,64430,Diesel,Manual,20.54,1598.0,103.6,5.0,5.2,volkswagen vento
2012,65932,Diesel,Manual,22.3,1248.0,74.0,5.0,1.95,tata indica
2018,25692,Petrol,Manual,21.56,1462.0,103.25,5.0,9.95,suzuki ciaz
2012,60000,Petrol,Automatic,16.8,1497.0,116.3,5.0,4.49,honda city
2015,64424,Diesel,Manual,25.2,1248.0,74.0,5.0,5.6,suzuki swift
2014,110000,Diesel,Manual,13.5,2477.0,175.56,7.0,15.0,mitsubishi pajero
2016,58950,Diesel,Manual,25.8,1498.0,98.6,5.0,5.4,honda amaze
2017,25000,Diesel,Manual,28.4,1248.0,74.0,5.0,5.99,suzuki swift
2014,77469,Diesel,Manual,20.45,1461.0,83.8,5.0,6.34,renault duster
2014,32982,Diesel,Automatic,22.69,1995.0,190.0,5.0,18.55,bmw 3
2015,55985,Petrol,Automatic,13.53,1984.0,177.01,5.0,23.5,audi a6
2010,45807,Petrol,Manual,18.5,1197.0,80.0,5.0,1.87,hyundai i20
2010,33000,Petrol,Automatic,14.4,1598.0,103.6,5.0,2.85,volkswagen vento
2012,51920,Petrol,Manual,16.8,1497.0,116.3,5.0,4.25,honda city
2012,54000,Diesel,Manual,23.08,1461.0,63.1,5.0,4.25,nissan micra
2013,54000,Petrol,Manual,20.92,998.0,67.1,5.0,2.75,suzuki alto
2013,62000,Diesel,Manual,19.01,1461.0,108.45,5.0,7.75,renault duster
2012,87615,Petrol,Manual,14.53,1798.0,138.1,5.0,6.75,toyota corolla
2013,72000,Diesel,Automatic,11.18,2696.0,184.0,7.0,12.5,mahindra ssangyong
2010,35000,Diesel,Automatic,12.4,2698.0,179.5,5.0,11.5,audi a6
2014,55431,Petrol,Manual,16.09,1598.0,103.5,5.0,6.98,volkswagen vento
2009,83816,Petrol,Manual,14.0,1061.0,64.0,5.0,1.85,suzuki wagon
2018,50075,Diesel,Manual,24.3,1248.0,88.5,5.0,8.63,suzuki vitara
2017,52000,Petrol,Manual,18.15,1198.0,82.0,5.0,4.85,mahindra kuv
2013,62000,Diesel,Manual,22.07,1199.0,73.9,5.0,5.0,volkswagen polo
2008,90000,Petrol,Manual,19.7,796.0,46.3,5.0,1.25,suzuki alto
2017,22033,Diesel,Manual,25.32,1198.0,77.0,6.0,5.58,mahindra kuv
2014,35487,Petrol,Manual,18.5,1197.0,82.9,5.0,4.74,hyundai i20
2014,46374,Petrol,Automatic,14.62,1999.0,149.92,5.0,8.85,hyundai elantra
2016,52001,Petrol,Automatic,14.28,1798.0,138.03,5.0,10.11,toyota corolla
2008,58005,Diesel,Manual,14.9,1991.0,112.2,5.0,4.25,hyundai elantra
2012,70704,Petrol,Manual,11.25,2694.0,163.7,7.0,10.95,toyota innova
2014,75000,Diesel,Manual,24.4,1120.0,71.0,5.0,3.85,hyundai xcent
2015,13648,Diesel,Automatic,17.11,1968.0,174.33,5.0,21.43,audi a4
2014,52000,Diesel,Manual,22.9,1248.0,74.0,5.0,4.25,suzuki swift
2014,53000,Diesel,Manual,17.8,1248.0,75.0,5.0,3.3,suzuki swift
2013,65650,Diesel,Manual,28.4,1248.0,74.0,5.0,3.85,suzuki swift
2015,54000,Petrol,Manual,18.9,1197.0,82.0,5.0,3.6,hyundai grand
2015,39000,Petrol,Manual,15.04,1598.0,103.2,5.0,3.99,volkswagen vento
2017,16542,Petrol,Manual,25.17,799.0,53.3,5.0,3.3,renault kwid
2010,32000,Petrol,Manual,20.36,1197.0,78.9,5.0,2.07,hyundai i10
2010,39300,Petrol,Manual,18.2,998.0,67.1,5.0,2.25,suzuki zen
2017,22000,Diesel,Manual,13.68,2393.0,147.8,8.0,16.5,toyota innova
2010,72000,Diesel,Manual,20.0,1399.0,68.0,5.0,2.75,ford figo
2011,65000,Diesel,Manual,15.8,2148.0,170.0,5.0,10.0,mercedes-benz new
2012,65664,Diesel,Automatic,16.55,1968.0,140.0,5.0,13.5,audi a4
2007,63000,Petrol,Automatic,16.4,1497.0,78.0,5.0,1.85,honda city
2016,63000,Diesel,Manual,24.52,1248.0,88.5,7.0,8.15,suzuki ertiga
2018,13000,Diesel,Manual,22.1,1396.0,88.7,5.0,10.5,hyundai creta
2015,55729,Diesel,Manual,15.1,2179.0,140.0,7.0,9.65,mahindra xuv500
2012,45178,Petrol,Automatic,16.95,1197.0,78.9,5.0,3.48,hyundai i10
2015,56066,Diesel,Manual,19.64,1461.0,108.5,5.0,6.92,nissan terrano
2016,37300,Petrol,Automatic,16.5,1198.0,86.8,5.0,6.46,honda brio
2012,104000,Diesel,Manual,12.8,2494.0,102.0,7.0,11.75,toyota innova
2012,95100,Diesel,Manual,22.9,1248.0,74.0,5.0,3.75,suzuki swift
2017,70000,Petrol,Manual,17.57,1193.0,88.7,5.0,4.5,tata zest
2016,54944,Petrol,Manual,18.0,1198.0,86.7,5.0,4.82,honda amaze
2012,70337,Diesel,Manual,20.0,1399.0,68.0,5.0,2.8,ford figo
2013,99638,Diesel,Manual,23.2,1248.0,73.94,5.0,3.11,suzuki ritz
2009,52000,Petrol,Manual,17.8,1497.0,117.3,5.0,3.25,honda city
2011,75000,Diesel,Automatic,16.73,1995.0,218.0,5.0,13.9,bmw 5
2009,95980,Petrol,Manual,20.36,1197.0,78.9,5.0,2.25,hyundai i10
2016,16000,Petrol,Manual,18.9,1197.0,82.0,5.0,5.75,hyundai grand
2016,18949,Petrol,Manual,17.8,1198.0,86.7,5.0,5.0,honda amaze
2014,107000,Diesel,Manual,13.0,2982.0,168.5,7.0,16.5,toyota fortuner
2013,57000,Diesel,Manual,22.7,1498.0,89.84,5.0,5.5,ford ecosport
2014,58000,Diesel,Manual,15.1,2179.0,140.0,7.0,8.1,mahindra xuv500
2015,30000,Diesel,Manual,25.8,1498.0,98.6,5.0,3.5,honda amaze
2013,34212,Diesel,Manual,22.07,1199.0,73.9,5.0,2.79,volkswagen polo
2010,70002,Diesel,Manual,16.2,1493.0,110.0,5.0,3.45,hyundai verna
2016,62000,Petrol,Manual,18.9,998.0,67.1,5.0,4.45,suzuki wagon
2010,62001,Petrol,Manual,15.26,1598.0,103.5,5.0,2.65,volkswagen polo
2011,78958,Diesel,Manual,23.0,1396.0,90.0,5.0,3.8,hyundai i20
2014,30180,Petrol,Manual,18.5,1197.0,82.85,5.0,4.65,hyundai i20
2010,30000,Diesel,Automatic,14.94,2967.0,241.4,5.0,9.8,audi a4
2009,66000,Petrol,Manual,17.0,1197.0,80.0,5.0,2.7,hyundai i20
2010,93850,Petrol,Manual,14.0,796.0,35.0,5.0,2.41,suzuki omni
2014,53000,Petrol,Manual,17.71,1197.0,78.9,5.0,3.9,toyota etios
2012,65000,Diesel,Manual,16.0,2179.0,140.0,7.0,5.75,mahindra xuv500
2014,40000,Diesel,Automatic,22.32,1582.0,126.32,5.0,5.25,hyundai verna
2017,30000,Diesel,Automatic,11.36,2755.0,171.5,7.0,19.25,toyota innova
2017,38053,Petrol,Manual,15.1,1196.0,73.0,5.0,3.91,suzuki eeco
2015,56087,Diesel,Automatic,22.69,1995.0,190.0,5.0,20.75,bmw 3
2010,71088,Petrol,Manual,13.5,1799.0,130.0,5.0,3.35,honda civic
2014,55000,Diesel,Manual,12.99,2494.0,100.6,7.0,11.11,toyota innova
2016,39882,Petrol,Automatic,19.15,1198.0,75.94,5.0,6.55,nissan micra
2009,128000,Petrol,Automatic,10.8,2497.0,215.0,5.0,7.0,bmw 5
2016,55000,Diesel,Manual,24.3,1248.0,88.5,5.0,7.5,suzuki vitara
2014,53753,Diesel,Automatic,15.0,2143.0,107.3,5.0,16.75,mercedes-benz b
2018,10250,Diesel,Manual,22.0,1582.0,126.2,5.0,10.95,hyundai verna
2011,43874,Petrol,Manual,18.9,998.0,67.1,5.0,2.45,suzuki wagon
2014,42000,Diesel,Manual,12.05,2179.0,120.0,8.0,7.75,mahindra scorpio
2009,28352,Petrol,Automatic,11.7,1796.0,178.0,5.0,9.35,mercedes-benz new
2013,89900,CNG,Manual,26.6,998.0,58.16,5.0,3.25,suzuki wagon
2007,47700,Petrol,Manual,10.8,2354.0,152.0,5.0,5.25,honda cr-v
2015,55000,Diesel,Automatic,21.21,1498.0,103.2,5.0,7.25,volkswagen vento
2017,44285,Petrol,Manual,20.73,1373.0,91.1,5.0,7.47,suzuki ciaz
2016,54000,Diesel,Automatic,16.0,2179.0,140.0,7.0,13.25,mahindra xuv500
2016,30232,Petrol,Manual,21.1,1197.0,85.8,5.0,5.81,suzuki ritz
2014,88500,Petrol,Manual,24.07,998.0,67.1,5.0,2.6,suzuki alto
2019,12645,Petrol,Automatic,17.0,1591.0,121.3,5.0,11.5,hyundai verna
2010,94385,Petrol,Manual,19.7,796.0,46.3,5.0,1.6,suzuki alto
2015,12000,Petrol,Automatic,19.0,1199.0,88.7,5.0,6.0,honda jazz
2012,88578,Petrol,Manual,13.5,1799.0,130.0,5.0,3.95,honda civic
2014,44965,Diesel,Automatic,19.27,2143.0,170.0,5.0,17.95,mercedes-benz new
2014,45044,Diesel,Manual,25.8,1498.0,98.6,5.0,3.7,honda amaze
2016,34204,Petrol,Manual,22.0,1197.0,81.8,5.0,5.43,suzuki swift
2012,91235,Diesel,Manual,11.5,2982.0,171.0,7.0,13.49,toyota fortuner
2014,38800,Petrol,Manual,18.6,1199.0,76.8,5.0,2.85,chevrolet beat
2013,83000,Diesel,Manual,21.14,1498.0,103.52,5.0,4.75,skoda rapid
2018,41283,Petrol,Manual,20.73,1373.0,91.1,5.0,9.9,suzuki ciaz
2015,48214,Diesel,Automatic,17.11,1968.0,174.33,5.0,23.32,audi a4
2016,35000,Diesel,Manual,22.9,1248.0,74.0,5.0,6.25,suzuki swift
2016,54620,Diesel,Automatic,21.66,1498.0,103.52,5.0,9.86,skoda rapid
2012,136997,Diesel,Automatic,17.2,1968.0,138.1,5.0,8.5,skoda superb
2019,14322,Petrol,Manual,21.1,814.0,55.2,5.0,4.23,hyundai eon
2012,65634,Diesel,Manual,22.07,1199.0,73.9,5.0,3.5,volkswagen polo
2013,33280,Petrol,Manual,19.4,1198.0,86.8,5.0,2.39,honda brio
2013,29000,Petrol,Automatic,14.8,1595.0,120.7,5.0,11.25,mercedes-benz b
2015,42831,Diesel,Manual,26.0,1498.0,98.6,5.0,7.11,honda city
2016,90000,Diesel,Manual,12.99,2494.0,100.6,7.0,10.9,toyota innova
2017,24005,Petrol,Manual,20.4,1197.0,81.8,5.0,6.2,suzuki swift
2012,32792,Diesel,Manual,15.1,2179.0,140.0,7.0,7.9,mahindra xuv500
2014,147898,Diesel,Manual,22.7,1498.0,89.84,5.0,4.42,ford ecosport
2012,131765,Diesel,Manual,13.0,2982.0,168.5,7.0,13.5,toyota fortuner
2013,65000,Diesel,Automatic,21.5,1498.0,108.5,5.0,6.25,volkswagen vento
2010,66123,Diesel,Manual,20.0,1399.0,68.0,5.0,2.1,ford figo
2012,45000,Petrol,Manual,19.4,1198.0,86.8,5.0,3.65,honda brio
2013,60000,Petrol,Manual,20.36,1197.0,78.9,5.0,2.75,hyundai i10
2019,1000,Petrol,Manual,18.9,1197.0,81.86,5.0,6.5,hyundai grand
2012,62500,Diesel,Automatic,17.68,1968.0,174.33,5.0,19.0,audi a6
2013,21000,Petrol,Automatic,14.4,1598.0,103.6,5.0,4.45,volkswagen vento
2014,29000,Diesel,Manual,22.54,1396.0,88.73,5.0,8.35,hyundai i20
2014,40000,Diesel,Automatic,17.68,1968.0,174.33,5.0,22.95,audi a6
2012,88000,Diesel,Manual,25.44,936.0,57.6,5.0,1.5,chevrolet beat
2012,53537,Petrol,Automatic,13.7,1798.0,157.75,5.0,6.89,skoda superb
2007,118500,Petrol,Manual,12.9,1598.0,102.5,5.0,1.25,chevrolet optra
2012,63000,Diesel,Manual,22.07,1199.0,73.9,5.0,4.2,volkswagen polo
2017,24773,Petrol,Manual,21.4,1197.0,83.1,5.0,7.5,suzuki baleno
2012,62000,Diesel,Manual,22.32,1582.0,126.32,5.0,4.6,hyundai verna
2017,52340,Petrol,Manual,19.81,1086.0,68.05,5.0,4.04,hyundai i10
2016,56739,Diesel,Manual,15.4,1997.0,120.0,7.0,10.31,mahindra scorpio
2010,120000,Diesel,Manual,20.0,1399.0,68.0,5.0,2.6,ford figo
2016,33000,Diesel,Manual,25.47,1248.0,88.5,7.0,8.5,suzuki ertiga
2014,52000,Diesel,Manual,25.8,1498.0,98.6,5.0,3.5,honda amaze
2015,43571,Petrol,Manual,20.36,1197.0,78.9,5.0,3.55,hyundai i10
2013,50000,Diesel,Manual,25.8,1498.0,98.6,5.0,3.25,honda amaze
2008,113000,Diesel,Manual,17.5,1896.0,106.0,5.0,4.5,skoda laura
2014,90000,Diesel,Manual,19.87,1461.0,83.8,5.0,5.35,renault duster
2016,20000,Diesel,Manual,24.3,1248.0,88.5,5.0,9.0,suzuki vitara
2016,61012,Petrol,Manual,18.6,1197.0,81.83,5.0,6.0,hyundai i20
2009,87459,Petrol,Manual,14.7,1390.0,85.0,5.0,2.75,skoda fabia
2010,70500,Petrol,Manual,15.64,1193.0,64.1,5.0,1.5,tata indigo
2015,64103,Diesel,Automatic,15.73,1968.0,174.33,5.0,19.9,audi q3
2014,76000,Petrol,Automatic,14.7,1798.0,177.5,5.0,10.0,skoda octavia
2014,104000,Diesel,Manual,23.59,1364.0,67.06,5.0,3.0,toyota etios
2014,37245,Petrol,Automatic,14.8,1595.0,120.7,5.0,11.96,mercedes-benz b
2013,45000,Diesel,Manual,27.4,1498.0,98.6,5.0,3.25,honda amaze
2012,117837,Diesel,Manual,22.32,1582.0,126.32,5.0,4.75,hyundai verna
2014,30000,Diesel,Manual,20.46,1461.0,83.8,5.0,5.95,renault duster
2015,27057,Petrol,Manual,15.29,1591.0,121.3,5.0,8.15,hyundai creta
2016,8500,Petrol,Automatic,20.51,998.0,67.0,5.0,4.22,suzuki wagon
2010,30500,Petrol,Automatic,11.74,1796.0,186.0,5.0,10.5,mercedes-benz new
2012,44000,Petrol,Manual,19.81,1086.0,68.05,5.0,2.9,hyundai i10
2017,10500,Petrol,Automatic,14.3,1598.0,103.52,5.0,8.9,skoda rapid
2018,25166,Petrol,Manual,17.19,1197.0,81.86,5.0,8.22,hyundai i20
2014,64000,Diesel,Manual,25.8,1498.0,98.6,5.0,3.5,honda amaze
2004,61000,Petrol,Manual,18.9,998.0,67.1,5.0,1.25,suzuki wagon
2013,32000,Petrol,Manual,22.5,998.0,67.04,5.0,2.65,suzuki wagon
2015,46173,Diesel,Manual,19.01,1461.0,108.5,5.0,8.92,nissan terrano
2016,60813,Petrol,Manual,18.6,1199.0,76.8,5.0,3.32,chevrolet beat
2012,45000,Diesel,Manual,22.07,1199.0,73.9,5.0,3.6,volkswagen polo
2016,64000,Diesel,Manual,22.9,1248.0,74.0,5.0,6.8,suzuki swift
2012,41284,Diesel,Manual,20.0,1399.0,68.05,5.0,2.5,ford figo
2019,14165,Diesel,Automatic,11.36,2755.0,171.5,7.0,19.64,toyota innova
2011,67000,Diesel,Automatic,11.72,2199.0,194.3,7.0,7.0,hyundai santa
2011,32572,Petrol,Manual,17.4,1497.0,117.3,5.0,3.87,honda city
2018,14960,Petrol,Manual,18.6,1197.0,81.83,5.0,6.27,hyundai i20
2015,55980,Diesel,Automatic,19.27,2143.0,167.62,5.0,18.12,mercedes-benz new
2013,74000,Diesel,Manual,25.44,936.0,57.6,5.0,2.65,chevrolet beat
2015,56847,Diesel,Manual,22.54,1396.0,88.73,5.0,7.2,hyundai i20
2015,121374,Diesel,Manual,12.99,2494.0,100.6,7.0,14.3,toyota innova
2013,52000,Diesel,Manual,20.77,1248.0,88.76,7.0,6.9,suzuki ertiga
2014,118000,Diesel,Manual,12.8,2494.0,102.0,7.0,10.75,toyota innova
2016,33915,Petrol,Manual,17.8,1497.0,117.3,5.0,8.09,honda city
2014,82002,Diesel,Automatic,17.05,1995.0,184.0,5.0,18.5,bmw x1
2017,33000,Diesel,Manual,24.0,1120.0,70.0,5.0,4.75,hyundai grand
2016,34000,Diesel,Manual,28.09,1248.0,88.5,5.0,8.45,suzuki ciaz
2012,55000,Diesel,Manual,20.5,1598.0,103.6,5.0,3.5,skoda rapid
2006,160538,Diesel,Manual,13.1,1493.0,82.0,5.0,1.8,hyundai accent
2014,60000,Diesel,Manual,19.91,1498.0,103.6,5.0,3.7,volkswagen polo
2017,49575,Petrol,Manual,18.7,1199.0,88.7,5.0,7.17,honda jazz
2010,83000,Petrol,Manual,19.81,1086.0,68.05,5.0,1.75,hyundai i10
2017,43000,Diesel,Manual,13.68,2393.0,147.8,7.0,18.65,toyota innova
2011,35000,Petrol,Manual,19.7,796.0,35.0,5.0,1.85,suzuki omni
2017,27872,Petrol,Manual,20.4,1197.0,81.8,5.0,5.95,suzuki swift
2014,16514,Petrol,Manual,18.9,1197.0,82.0,5.0,3.75,hyundai grand
2012,120000,Diesel,Manual,22.9,1248.0,74.0,5.0,3.75,suzuki swift
2008,143275,Diesel,Manual,22.0,1582.0,126.2,5.0,2.6,hyundai verna
2010,52000,Petrol,Manual,17.0,1197.0,80.0,5.0,2.8,hyundai i20
2014,57000,Diesel,Manual,15.8,2148.0,170.0,5.0,18.0,mercedes-benz new
2014,88500,Diesel,Manual,23.2,1248.0,73.94,5.0,4.35,suzuki ritz
2016,28000,Diesel,Manual,19.67,1582.0,126.2,5.0,13.75,hyundai creta
2010,67000,Petrol,Manual,19.0,998.0,66.1,5.0,2.0,suzuki a-star
2016,26000,Diesel,Manual,19.64,1461.0,108.45,5.0,10.0,renault duster
2010,36000,Petrol,Manual,20.36,1197.0,78.9,5.0,3.25,hyundai i10
2016,47000,Diesel,Manual,12.8,2494.0,102.0,7.0,12.8,toyota innova
2002,60000,Petrol,Manual,17.3,993.0,60.0,5.0,0.55,suzuki zen
2018,31025,Diesel,Manual,28.4,1248.0,74.0,5.0,7.15,suzuki swift
2013,105000,Diesel,Manual,12.05,2179.0,120.0,8.0,7.0,mahindra scorpio
2017,121900,Diesel,Manual,22.95,1248.0,74.0,5.0,3.75,tata zest
2017,22695,Petrol,Manual,18.88,999.0,123.24,5.0,8.5,ford ecosport
2012,73000,Diesel,Manual,23.4,1248.0,74.0,5.0,4.35,suzuki swift
2016,32227,Petrol,Manual,22.74,796.0,47.3,5.0,3.26,suzuki alto
2011,55000,Petrol,Manual,17.0,1497.0,118.0,5.0,4.21,honda city
2009,48000,Diesel,Automatic,17.0,1896.0,105.0,5.0,2.95,skoda laura
2012,54308,Petrol,Manual,17.1,1591.0,121.3,5.0,4.28,hyundai verna
2009,78442,Petrol,Automatic,16.8,1497.0,118.0,5.0,3.57,honda city
2013,46000,Diesel,Manual,21.9,1396.0,88.8,5.0,3.11,hyundai i20
2014,45051,Petrol,Automatic,15.0,1396.0,98.6,5.0,5.96,hyundai i20
2011,69000,Diesel,Manual,20.54,1598.0,103.6,5.0,4.7,volkswagen vento
2014,49000,Petrol,Manual,17.4,1497.0,117.3,5.0,6.9,honda city
2018,45000,Diesel,Manual,22.95,1248.0,74.0,5.0,5.25,tata zest
2009,60000,Petrol,Manual,18.9,1061.0,67.0,5.0,1.35,suzuki wagon
2015,62178,Petrol,Manual,18.2,1199.0,88.7,5.0,4.85,honda jazz
2012,58006,Diesel,Manual,15.0,1896.0,105.0,5.0,6.7,volkswagen jetta
2010,74000,Petrol,Manual,20.36,1197.0,78.9,5.0,3.1,hyundai i10
2015,77771,Diesel,Automatic,19.27,2143.0,170.0,5.0,18.64,mercedes-benz new
2012,45275,Petrol,Manual,20.36,1197.0,78.9,5.0,2.8,hyundai i10
2016,48000,Diesel,Manual,13.68,2393.0,147.8,7.0,20.25,toyota innova
2010,109000,Diesel,Manual,12.99,2494.0,100.6,7.0,8.26,toyota innova
2015,31978,Petrol,Manual,16.47,1198.0,73.9,5.0,3.89,volkswagen polo
2011,70000,Petrol,Manual,20.92,998.0,67.1,5.0,2.1,suzuki alto
2017,15000,Petrol,Automatic,18.0,1497.0,117.3,5.0,12.69,honda city
2013,59138,Diesel,Manual,17.0,1405.0,70.0,5.0,2.58,tata indigo
2014,61726,Diesel,Automatic,17.68,1968.0,174.33,5.0,20.77,audi a6
2015,48000,Diesel,Automatic,17.9,2143.0,136.0,5.0,20.26,mercedes-benz gla
2014,77815,Petrol,Automatic,23.1,998.0,67.04,5.0,4.25,suzuki celerio
2011,108626,Diesel,Manual,20.54,1598.0,103.6,5.0,3.65,volkswagen vento
2012,71791,Petrol,Manual,14.0,796.0,35.0,5.0,2.05,suzuki omni
2012,91931,Petrol,Manual,18.5,1198.0,86.8,5.0,3.13,honda brio
2012,91183,Diesel,Manual,18.0,1248.0,75.0,5.0,2.85,tata indica
2012,65000,Petrol,Manual,18.9,998.0,67.1,5.0,2.65,suzuki wagon
2015,88428,Diesel,Manual,16.0,2179.0,140.0,7.0,10.6,mahindra xuv500
2008,138000,Diesel,Manual,17.1,1396.0,70.0,5.0,1.25,tata indigo
2018,18000,Petrol,Manual,16.02,1373.0,93.7,7.0,8.25,suzuki ertiga
2011,60000,Petrol,Automatic,11.7,2354.0,177.6,5.0,4.45,honda accord
2012,48000,Diesel,Manual,19.3,1248.0,73.9,5.0,3.7,suzuki swift
2009,160000,Diesel,Manual,17.8,1399.0,68.0,5.0,2.8,ford fiesta
2008,40000,Petrol,Manual,17.7,1497.0,78.0,5.0,1.8,honda city
2014,51495,Diesel,Automatic,17.68,1968.0,174.33,5.0,21.95,audi a6
2008,42496,CNG,Manual,26.3,998.0,67.1,5.0,1.4,suzuki zen
2012,83000,Diesel,Manual,23.0,1396.0,90.0,5.0,5.5,hyundai i20
